code,description,message,cause,troubleshooting,component,equipment
12607,알람 설명 212,알람 예시 212,알람 원인 212,알람 해제 방법 및 트러블 슈팅 212,공정 제어,메인 장비
12609,알람 설명 213,알람 예시 213,알람 원인 213,알람 해제 방법 및 트러블 슈팅 213,공정 제어,메인 장비
13014,알람 설명 214,알람 예시 214,알람 원인 214,알람 해제 방법 및 트러블 슈팅 214,Z-drive 컨트롤러/통신 케이블(1XG1 1XG2),메인 장비
13014,알람 설명 215,알람 예시 215,알람 원인 215,알람 해제 방법 및 트러블 슈팅 215,Z-drive/Encoder,가압부
13019,알람 설명 216,알람 예시 216,알람 원인 216,알람 해제 방법 및 트러블 슈팅 216,세이프티,메인 장비
13021,알람 설명 217,알람 예시 217,알람 원인 217,알람 해제 방법 및 트러블 슈팅 217,프레셔 피스,가압부
13021,알람 설명 218,알람 예시 218,알람 원인 218,알람 해제 방법 및 트러블 슈팅 218,위치 티칭,Robot
13022,알람 설명 219,알람 예시 219,알람 원인 219,알람 해제 방법 및 트러블 슈팅 219,공정 파라미터/파워 서플라이,메인 장비
13023,알람 설명 220,알람 예시 220,알람 원인 220,알람 해제 방법 및 트러블 슈팅 220,보호 유리/프로세스 파이버/옵틱 헤드,가압부
13041,알람 설명 221,알람 예시 221,알람 원인 221,알람 해제 방법 및 트러블 슈팅 221,프레셔 피스,가압부
13042,알람 설명 222,알람 예시 222,알람 원인 222,알람 해제 방법 및 트러블 슈팅 222,프레셔 피스/석션 호스/샤프트/석션 파이프,가압부
13042,알람 설명 223,알람 예시 223,알람 원인 223,알람 해제 방법 및 트러블 슈팅 223,석션 호스/석션 모터/설정 파라미터,집진기
13047,알람 설명 224,알람 예시 224,알람 원인 224,알람 해제 방법 및 트러블 슈팅 224,포스 센서,가압부
13047,알람 설명 225,알람 예시 225,알람 원인 225,알람 해제 방법 및 트러블 슈팅 225,위치 티칭,Robot
13048,알람 설명 226,알람 예시 226,알람 원인 226,알람 해제 방법 및 트러블 슈팅 226,워크피스,Customer
13049,알람 설명 227,알람 예시 227,알람 원인 227,알람 해제 방법 및 트러블 슈팅 227,워크피스,Customer
13050,알람 설명 228,알람 예시 228,알람 원인 228,알람 해제 방법 및 트러블 슈팅 228,워크피스,Customer
13051,알람 설명 229,알람 예시 229,알람 원인 229,알람 해제 방법 및 트러블 슈팅 229,위치 티칭,Robot
13052,알람 설명 230,알람 예시 230,알람 원인 230,알람 해제 방법 및 트러블 슈팅 230,위치 티칭,Robot
13053,알람 설명 231,알람 예시 231,알람 원인 231,알람 해제 방법 및 트러블 슈팅 231,워크피스,Customer
13054,알람 설명 232,알람 예시 232,알람 원인 232,알람 해제 방법 및 트러블 슈팅 232,세이프티,Robot
13055,알람 설명 233,알람 예시 233,알람 원인 233,알람 해제 방법 및 트러블 슈팅 233,프레셔 피스/포스 센서,가압부
13055,알람 설명 234,알람 예시 234,알람 원인 234,알람 해제 방법 및 트러블 슈팅 234,위치 티칭,Robot
13056,알람 설명 235,알람 예시 235,알람 원인 235,알람 해제 방법 및 트러블 슈팅 235,세이프티,Robot
13056,알람 설명 236,알람 예시 236,알람 원인 236,알람 해제 방법 및 트러블 슈팅 236,세이프티 케이블(XP2),메인 장비
13057,알람 설명 237,알람 예시 237,알람 원인 237,알람 해제 방법 및 트러블 슈팅 237,에어 시스템/공정 파라미터,메인 장비
13057,알람 설명 238,알람 예시 238,알람 원인 238,알람 해제 방법 및 트러블 슈팅 238,오버젯 밸브/유량 센서/에어 시스템,가압부
13057,알람 설명 239,알람 예시 239,알람 원인 239,알람 해제 방법 및 트러블 슈팅 239,압축 공기 유량,Customer
13058,알람 설명 240,알람 예시 240,알람 원인 240,알람 해제 방법 및 트러블 슈팅 240,공정 모니터링,메인 장비
13059,알람 설명 241,알람 예시 241,알람 원인 241,알람 해제 방법 및 트러블 슈팅 241,공정 제어,메인 장비
13060,알람 설명 242,알람 예시 242,알람 원인 242,알람 해제 방법 및 트러블 슈팅 242,포스 센서,가압부
13060,알람 설명 243,알람 예시 243,알람 원인 243,알람 해제 방법 및 트러블 슈팅 243,위치 티칭,Robot
13063,알람 설명 244,알람 예시 244,알람 원인 244,알람 해제 방법 및 트러블 슈팅 244,MCU,메인 장비
13064,알람 설명 245,알람 예시 245,알람 원인 245,알람 해제 방법 및 트러블 슈팅 245,포스 센서,가압부
13064,알람 설명 246,알람 예시 246,알람 원인 246,알람 해제 방법 및 트러블 슈팅 246,위치 티칭,Robot
13061,알람 설명 247,알람 예시 247,알람 원인 247,알람 해제 방법 및 트러블 슈팅 247,포스 센서,가압부
13061,알람 설명 248,알람 예시 248,알람 원인 248,알람 해제 방법 및 트러블 슈팅 248,위치 티칭,Robot
13062,알람 설명 249,알람 예시 249,알람 원인 249,알람 해제 방법 및 트러블 슈팅 249,MCU,메인 장비
12341,알람 설명 250,알람 예시 250,알람 원인 250,알람 해제 방법 및 트러블 슈팅 250,냉각수,냉각기
12343,알람 설명 251,알람 예시 251,알람 원인 251,알람 해제 방법 및 트러블 슈팅 251,모터 보호 스위치,냉각기
12346,알람 설명 252,알람 예시 252,알람 원인 252,알람 해제 방법 및 트러블 슈팅 252,히터,냉각기
12348,알람 설명 253,알람 예시 253,알람 원인 253,알람 해제 방법 및 트러블 슈팅 253,컴프레서,냉각기
12349,알람 설명 254,알람 예시 254,알람 원인 254,알람 해제 방법 및 트러블 슈팅 254,팬 보호 스위치,냉각기
12350,알람 설명 255,알람 예시 255,알람 원인 255,알람 해제 방법 및 트러블 슈팅 255,히터,냉각기
12351,알람 설명 256,알람 예시 256,알람 원인 256,알람 해제 방법 및 트러블 슈팅 256,히터,냉각기
12352,알람 설명 257,알람 예시 257,알람 원인 257,알람 해제 방법 및 트러블 슈팅 257,히터,냉각기
12353,알람 설명 258,알람 예시 258,알람 원인 258,알람 해제 방법 및 트러블 슈팅 258,히터,냉각기
12354,알람 설명 259,알람 예시 259,알람 원인 259,알람 해제 방법 및 트러블 슈팅 259,냉각 호스/스트레이너,메인 장비
12354,알람 설명 260,알람 예시 260,알람 원인 260,알람 해제 방법 및 트러블 슈팅 260,냉각 호스/냉각수 밸브/히터,냉각기
12355,알람 설명 261,알람 예시 261,알람 원인 261,알람 해제 방법 및 트러블 슈팅 261,냉각 호스/스트레이너,메인 장비
12355,알람 설명 262,알람 예시 262,알람 원인 262,알람 해제 방법 및 트러블 슈팅 262,냉각 호스/냉각수 밸브,냉각기
12366,알람 설명 263,알람 예시 263,알람 원인 263,알람 해제 방법 및 트러블 슈팅 263,온도 센서,냉각기
12371,알람 설명 264,알람 예시 264,알람 원인 264,알람 해제 방법 및 트러블 슈팅 264,압력 센서,냉각기
12372,알람 설명 265,알람 예시 265,알람 원인 265,알람 해제 방법 및 트러블 슈팅 265,압력 센서,냉각기
12373,알람 설명 266,알람 예시 266,알람 원인 266,알람 해제 방법 및 트러블 슈팅 266,압력 센서,냉각기
12377,알람 설명 267,알람 예시 267,알람 원인 267,알람 해제 방법 및 트러블 슈팅 267,전도도 센서,냉각기
12383,알람 설명 268,알람 예시 268,알람 원인 268,알람 해제 방법 및 트러블 슈팅 268,공급 전원,메인 장비
12387,알람 설명 269,알람 예시 269,알람 원인 269,알람 해제 방법 및 트러블 슈팅 269,온도 센서,냉각기
12388,알람 설명 270,알람 예시 270,알람 원인 270,알람 해제 방법 및 트러블 슈팅 270,온도 센서,냉각기
12389,알람 설명 271,알람 예시 271,알람 원인 271,알람 해제 방법 및 트러블 슈팅 271,온도 센서,냉각기
12390,알람 설명 272,알람 예시 272,알람 원인 272,알람 해제 방법 및 트러블 슈팅 272,압력 센서,냉각기
12391,알람 설명 273,알람 예시 273,알람 원인 273,알람 해제 방법 및 트러블 슈팅 273,온도 센서,냉각기
12392,알람 설명 274,알람 예시 274,알람 원인 274,알람 해제 방법 및 트러블 슈팅 274,온도 센서,냉각기
12393,알람 설명 275,알람 예시 275,알람 원인 275,알람 해제 방법 및 트러블 슈팅 275,압력 센서,냉각기
12208,알람 설명 276,알람 예시 276,알람 원인 276,알람 해제 방법 및 트러블 슈팅 276,냉각 호스/냉각수 밸브/스트레이너/공급 전원/유량 센서,메인 장비
12208,알람 설명 277,알람 예시 277,알람 원인 277,알람 해제 방법 및 트러블 슈팅 277,냉각 호스/냉각수 밸브/펌프,냉각기
12208,알람 설명 278,알람 예시 278,알람 원인 278,알람 해제 방법 및 트러블 슈팅 278,냉각 호스,가압부
12249,알람 설명 279,알람 예시 279,알람 원인 279,알람 해제 방법 및 트러블 슈팅 279,냉각수,냉각기
13065,알람 설명 280,알람 예시 280,알람 원인 280,알람 해제 방법 및 트러블 슈팅 280,공정 제어,메인 장비
11223,알람 설명 281,알람 예시 281,알람 원인 281,알람 해제 방법 및 트러블 슈팅 281,냉각 호스/냉각수 밸브/스트레이너,메인 장비
11223,알람 설명 282,알람 예시 282,알람 원인 282,알람 해제 방법 및 트러블 슈팅 282,냉각 호스/냉각수 밸브/펌프,냉각기
12256,알람 설명 283,알람 예시 283,알람 원인 283,알람 해제 방법 및 트러블 슈팅 283,냉각 호스/냉각수 밸브/스트레이너,메인 장비
12256,알람 설명 284,알람 예시 284,알람 원인 284,알람 해제 방법 및 트러블 슈팅 284,냉각 호스/냉각수 밸브/펌프,냉각기
11224,알람 설명 285,알람 예시 285,알람 원인 285,알람 해제 방법 및 트러블 슈팅 285,레이저 모듈,메인 장비
12257,알람 설명 286,알람 예시 286,알람 원인 286,알람 해제 방법 및 트러블 슈팅 286,레이저 모듈,메인 장비
12005,알람 설명 287,알람 예시 287,알람 원인 287,알람 해제 방법 및 트러블 슈팅 287,프레셔 피스,가압부
13033,알람 설명 288,알람 예시 288,알람 원인 288,알람 해제 방법 및 트러블 슈팅 288,프레셔 피스,가압부
12254,알람 설명 289,알람 예시 289,알람 원인 289,알람 해제 방법 및 트러블 슈팅 289,레이저 모듈/파워 서플라이,메인 장비
12226,알람 설명 290,알람 예시 290,알람 원인 290,알람 해제 방법 및 트러블 슈팅 290,세이프티/피딩 파이버,메인 장비
11610,알람 설명 291,알람 예시 291,알람 원인 291,알람 해제 방법 및 트러블 슈팅 291,공정 모니터링,메인 장비
11019,알람 설명 292,알람 예시 292,알람 원인 292,알람 해제 방법 및 트러블 슈팅 292,커버 센서/프레셔 피스/PILZ 세이프티 모듈,가압부
